metric,median,mean,sd,min,max,q25,q75
Energy %,-3.9370353638661166,36034.43175307642,110980.98256192094,-95.92956672095585,351796.34844868735,-11.190931533378619,24.83058094169204
Time %,NA,NA,NA,Inf,-Inf,NA,NA
CPU %,2.9001874793475597,50.54642848335382,112.910016895853,-14.182928403459446,360.2281951319896,-1.4449866467557826,38.10549897160747
Memory %,0.16709883337498,0.42248416328271754,0.7935371547428435,-0.30936370935367424,2.2768199087953183,-0.029020619999799074,0.583690142202156
Power %,-3.885327243482939,214.85701784027867,573.7493706390092,-45.00929243975316,1800.1394994927289,-11.085248191522822,5.4601106420287024
