benchmark,variant,n_runs,missing_energy,missing_power,missing_cpu,missing_memory,n_outliers_moderate,n_outliers_extreme,outlier_rate_pct,energy_cv,stability
sol1,OPTIMIZED,10,0,0,0,0,1,1,10,5.793588976657909,Stable
sol1_problem180,BASELINE,10,0,0,0,0,0,0,0,25.827894890049514,Variable
sol1_problem180,G1,10,0,0,0,0,3,3,30,30.062967063987127,Highly Variable
sol1_problem180,G12,10,0,0,0,0,3,2,30,27.198484722061266,Variable
sol1_problem180,G14,10,0,0,0,0,4,2,40,25.97926214562068,Variable
sol1_problem180,G3,10,0,0,0,0,4,3,40,26.10204194960224,Variable
sol1_problem180,G4,10,0,0,0,0,0,0,0,28.76848662682751,Variable
sol1_problem180,G6,10,0,0,0,0,1,0,10,25.48635071200479,Variable
sol1_problem180,G7,10,0,0,0,0,3,2,30,12.569869773626403,Moderate
sol1_problem180,G9,10,0,0,0,0,3,2,30,20.02556760385806,Variable
sol1_problem180,OPTIMIZED,10,0,0,0,0,0,0,0,42.42806307556492,Highly Variable
two_hidden_layers_neural_network,BASELINE,10,0,0,0,0,2,1,20,9.918087414005761,Stable
two_hidden_layers_neural_network,G1,10,0,0,0,0,1,1,10,13.733613260190802,Moderate
two_hidden_layers_neural_network,G3,10,0,0,0,0,2,2,20,29.727250724669574,Variable
two_hidden_layers_neural_network,G6,10,0,0,0,0,3,3,30,18.413399797644765,Moderate
two_hidden_layers_neural_network,G7,10,0,0,0,0,3,3,30,19.24409388129411,Moderate
two_hidden_layers_neural_network,OPTIMIZED,10,0,0,0,0,4,4,40,26.00153471865818,Variable
