metric,n,mean,median,sd,variance,min,max,q25,q75,iqr,cv,skewness,kurtosis
Energy (J),910,89.49952307692308,0.9924999999999999,495.650294869368,245669.21480409143,0,5912.04,0.54125,2.8902499999999995,2.3489999999999993,553.8021632175249,8.289005433542226,73.95708802073722
Execution Time (s),910,0,0,0,0,0,0,0,0,0,NA,NA,NA
Avg Power (W),910,4.219715384615385,2.6235,6.113625609376347,37.376418091622305,1.232,45.334,2.28,3.1835,0.9035000000000002,144.88241628015834,5.369789202551436,30.520809198693698
CPU Usage (%),910,20.127068131868132,18.1435,10.236228376345005,104.78037137269072,3.969,80.817,16.10875,20.48025,4.371500000000001,50.85802020085332,4.205844177121438,21.230841822571158
Memory Usage (MB),910,39.476775824175824,39.4325,0.7563715219935725,0.5720978792828734,37.851,41.672,38.959250000000004,39.970749999999995,1.011499999999991,1.9159911269409338,0.23054009100584164,-0.4382477539920724
