run_id,__done,python_file,total_energy_joules,execution_time_seconds,avg_power_watts,max_power_watts,min_power_watts,cpu_usage_avg,memory_usage_avg,results_set,benchmark,variant,log_path,energy_joules_log,exec_time_sec_log,energy_joules,exec_time_sec
run_18_repetition_0,DONE,basic_string/basic_string_G9.py,4.372,0,3.201,5.098,2.562,20.481,38.18,results_1,basic_string,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_18_repetition_0/energibridge.log,4.372038238525391,1.4660978,4.372,0
run_19_repetition_0,DONE,basic_string/basic_string_OPTIMIZED.py,4006.036,0,45.236,48.328,3.386,80.321,38.644,results_1,basic_string,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_19_repetition_0/energibridge.log,4006.03595753002,88.58587,4006.036,0
run_20_repetition_0,DONE,convolution_neural_network/convolution_neural_network.py,1.396,0,3.388,3.388,3.388,22.08,38.58,results_1,convolution_neural_network,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_20_repetition_0/energibridge.log,1.3957608213424684,0.43152237,1.396,0
run_21_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G1.py,1.368,0,3.265,3.265,3.265,19.396,38.546,results_1,convolution_neural_network,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_21_repetition_0/energibridge.log,1.3678996829986572,0.43483543,1.368,0
run_22_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G14.py,1.367,0,3.261,3.261,3.261,18.86,38.59,results_1,convolution_neural_network,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_22_repetition_0/energibridge.log,1.366515205144882,0.4393706,1.367,0
run_23_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G3.py,1.244,0,3.006,3.006,3.006,13.942,38.54,results_1,convolution_neural_network,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_23_repetition_0/energibridge.log,1.2444560837745664,0.43476576,1.244,0
run_24_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G4.py,0.598,0,2.847,2.847,2.847,10.945,38.572,results_1,convolution_neural_network,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_24_repetition_0/energibridge.log,0.5979417729377746,0.23058647,0.598,0
run_25_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G6.py,1.176,0,2.806,2.806,2.806,16.636,38.576,results_1,convolution_neural_network,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_25_repetition_0/energibridge.log,1.175674438238144,0.43398336,1.176,0
run_26_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G7.py,1.584,0,3.864,3.864,3.864,14.913,38.612,results_1,convolution_neural_network,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_26_repetition_0/energibridge.log,1.58414169549942,0.43088052,1.584,0
run_27_repetition_0,DONE,convolution_neural_network/convolution_neural_network_OPTIMIZED.py,1.206,0,2.878,2.878,2.878,15.544,38.621,results_1,convolution_neural_network,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_27_repetition_0/energibridge.log,1.2060503358840942,0.43985093,1.206,0
