benchmark,variant,n_runs,n_outliers,outlier_rate,energy_mean,energy_sd,energy_cv,energy_range,has_missing
n_body_simulation,G3,10,1,10,1.0422,0.1262790560623574,12.116585690112972,0.42299999999999993,FALSE
n_body_simulation,G4,10,0,0,1.0054,0.10323780530621736,10.268331540304093,0.34499999999999986,FALSE
n_body_simulation,G6,10,1,10,1.0046,0.09856210675959032,9.81107970929627,0.34099999999999986,FALSE
n_body_simulation,G7,10,2,20,1.0306,0.13202541842808568,12.810539339034124,0.35499999999999987,FALSE
n_body_simulation,G9,10,2,20,1.0607,0.22116311225478405,20.850675238501374,0.6809999999999999,FALSE
n_body_simulation,OPTIMIZED,10,1,10,1.0034,0.10544424540433149,10.508694977509615,0.3749999999999999,FALSE
sequential_minimum_optimization,BASELINE,10,1,10,342.5483,11.257881832051902,3.2865093278967965,40.28199999999998,FALSE
sequential_minimum_optimization,G1,10,0,0,345.3258,16.701840429525532,4.836545786479183,47.46800000000002,FALSE
sequential_minimum_optimization,G14,10,0,0,342.8097,8.243132967641744,2.404579849298822,25.124000000000024,FALSE
sequential_minimum_optimization,G3,10,0,0,325.554,4.1234114516987015,1.2665829483583988,13.918000000000006,FALSE
sequential_minimum_optimization,G4,10,1,10,335.5816,8.53424856029451,2.5431217207065315,35,FALSE
sequential_minimum_optimization,G6,10,2,20,336.0312,10.25669512291578,3.0523044059348594,38.89799999999997,FALSE
sequential_minimum_optimization,G7,10,0,0,26.7928,2.099844745583719,7.8373471439480715,6.942999999999998,FALSE
sequential_minimum_optimization,OPTIMIZED,10,0,0,13.9432,2.1159490016958764,15.175490573870249,7.095999999999998,FALSE
sol1,BASELINE,10,3,30,0.9041,0.13287960298288404,14.69744530282978,0.46599999999999997,FALSE
sol1,G1,10,1,10,0.8876999999999999,0.13220022692870081,14.892444173560982,0.46799999999999986,FALSE
sol1,G12,10,0,0,79.775,3.321638718731732,4.16375897051925,11.751000000000005,FALSE
sol1,G14,10,0,0,1.1466,0.338737262983176,29.542757978647828,0.9849999999999999,FALSE
sol1,G3,10,3,30,0.9482,0.3020624659459254,31.856408557891307,1.153,FALSE
sol1,G4,10,0,0,1.0207,0.2910593868382647,28.51566443012293,1.069,FALSE
sol1,G6,10,3,30,0.9419,0.2169779558695614,23.036198733364625,0.778,FALSE
sol1,G7,10,4,40,1.0142,0.3662909590293851,36.11624522080311,1.385,FALSE
sol1,G9,10,2,20,1.0261,0.21958063565705324,21.399535684343945,0.828,FALSE
sol1,OPTIMIZED,10,1,10,79.2676,4.592438935661285,5.793588976657909,16.922999999999988,FALSE
sol1_problem180,BASELINE,10,0,0,1.0981,0.28361611378763374,25.827894890049514,1.073,FALSE
sol1_problem180,G1,10,3,30,1.0027,0.3014413707505989,30.062967063987127,1.225,FALSE
sol1_problem180,G12,10,2,20,0.4858,0.13213023877977365,27.198484722061266,0.529,FALSE
sol1_problem180,G14,10,2,20,1.4382,0.3736337481783166,25.97926214562068,1.4849999999999999,FALSE
sol1_problem180,G3,10,3,30,0.4813,0.12562912790343558,26.10204194960224,0.46299999999999997,FALSE
sol1_problem180,G4,10,0,0,1.0253,0.2949632933848625,28.76848662682751,0.987,FALSE
sol1_problem180,G6,10,0,0,1.0388,0.26475221119630576,25.48635071200479,0.8399999999999999,FALSE
sol1_problem180,G7,10,2,20,0.9417,0.11837046365823982,12.569869773626403,0.4610000000000001,FALSE
sol1_problem180,G9,10,2,20,0.8946000000000001,0.17914872778411423,20.02556760385806,0.7259999999999999,FALSE
sol1_problem180,OPTIMIZED,10,0,0,0.7305,0.30993700076700176,42.42806307556492,0.808,FALSE
two_hidden_layers_neural_network,BASELINE,10,1,10,0.4829,0.047894444122233815,9.918087414005761,0.18,FALSE
two_hidden_layers_neural_network,CLEAN,10,1,10,0.4381,0.06294168376803685,14.366967306102913,0.20199999999999996,FALSE
two_hidden_layers_neural_network,G1,10,1,10,0.4481,0.06154032101891499,13.733613260190802,0.21399999999999997,FALSE
two_hidden_layers_neural_network,G3,10,2,20,0.4961,0.14747689084508575,29.727250724669574,0.547,FALSE
two_hidden_layers_neural_network,G6,10,3,30,0.4497,0.0828050588900085,18.413399797644765,0.33699999999999997,FALSE
two_hidden_layers_neural_network,G7,10,3,30,0.4498,0.0865599342780609,19.24409388129411,0.333,FALSE
two_hidden_layers_neural_network,OPTIMIZED,10,4,40,0.4509,0.11724092004642973,26.00153471865818,0.359,FALSE
two_hidden_layers_neural_network,ORIGINAL_FIXED,10,3,30,0.463,0.16574411335281597,35.797864655035845,0.612,FALSE
