benchmark,variant,n_runs,n_outliers,outlier_rate,energy_mean,energy_sd,energy_cv,energy_range,has_missing
ant_colony_optimization_algorithms,BASELINE,10,2,20,0.462,0.09755568210571391,21.115948507730284,0.36,FALSE
ant_colony_optimization_algorithms,G1,10,0,0,0.4938,0.05614623762996055,11.370238483183586,0.14599999999999996,FALSE
ant_colony_optimization_algorithms,G12,10,0,0,0.5006,0.07821224683868605,15.623700926625258,0.186,FALSE
ant_colony_optimization_algorithms,G14,10,2,20,0.4911,0.06778306901022145,13.802294646756557,0.18,FALSE
ant_colony_optimization_algorithms,G3,10,0,0,0.5131,0.08352438100472352,16.278382577416394,0.193,FALSE
ant_colony_optimization_algorithms,G4,10,0,0,0.5152,0.07247344341205265,14.067050351718294,0.178,FALSE
ant_colony_optimization_algorithms,G6,10,0,0,0.4945,0.07780209937184641,15.733488245064997,0.182,FALSE
ant_colony_optimization_algorithms,G7,10,2,20,0.48160000000000003,0.06190350914483316,12.853718676252731,0.172,FALSE
ant_colony_optimization_algorithms,G9,10,2,20,0.4832,0.058565822418502354,12.120410268729792,0.15799999999999997,FALSE
ant_colony_optimization_algorithms,OPTIMIZED,10,0,0,0.4994,0.07896300118128463,15.811574125207176,0.22500000000000003,FALSE
basic_string,BASELINE,10,0,0,1.2570000000000001,0.18364276916521016,14.609607729929209,0.508,FALSE
basic_string,G1,10,0,0,2.194,0.3938104450959454,17.949427761893595,1.228,FALSE
basic_string,G12,10,0,0,1386.5506,609.2160763070303,43.937529312455695,1953.006,FALSE
basic_string,G14,10,0,0,2.9395,0.5581603214529356,18.98827424571987,1.476,FALSE
basic_string,G3,10,0,0,3.3211,0.9551761268652672,28.76083607435088,3.2309999999999994,FALSE
basic_string,G4,10,0,0,2.9999,1.0451912584147778,34.840869976158466,3.1260000000000003,FALSE
basic_string,G6,10,0,0,2.8767,1.02462676673563,35.61813073089407,3.403,FALSE
basic_string,G7,10,0,0,2.8681,0.720238918692957,25.11205741407053,2.213,FALSE
basic_string,G9,10,0,0,4.4971000000000005,1.3328136862375861,29.637181433314492,3.329,FALSE
basic_string,OPTIMIZED,10,0,0,4423.3371,772.9611296727596,17.474615029289982,2655.845,FALSE
convolution_neural_network,BASELINE,10,0,0,1.5022,0.14471182091008009,9.63332584942618,0.4229999999999998,FALSE
convolution_neural_network,G1,10,0,0,1.4522,0.1757142882952639,12.099868358026711,0.51,FALSE
convolution_neural_network,G14,10,0,0,1.3865,0.16412681411369412,11.837491100879488,0.52,FALSE
convolution_neural_network,G3,10,0,0,1.3552,0.20169052200504278,14.882712662709768,0.6459999999999999,FALSE
convolution_neural_network,G4,10,2,20,0.6282,0.07585922634869291,12.07564889345637,0.21100000000000008,FALSE
convolution_neural_network,G6,10,1,10,1.2022,0.10892790684158442,9.06071426065417,0.357,FALSE
convolution_neural_network,G7,10,0,0,1.4012,0.31096259153366557,22.19259145972492,0.9599999999999997,FALSE
convolution_neural_network,OPTIMIZED,10,0,0,1.3224,0.20872161150947238,15.783545939917754,0.6719999999999999,FALSE
kmeans,BASELINE,10,0,0,3.2076000000000002,0.43346669742643174,13.513739164061345,1.2579999999999996,FALSE
kmeans,G1,10,2,20,3.093,0.3393677127312562,10.97212132981753,1.0199999999999996,FALSE
kmeans,G12,10,0,0,4.5152,0.373151384233739,8.264337886112221,1.4339999999999997,FALSE
kmeans,G14,10,1,10,3.1832000000000003,0.40254656045398457,12.645971363847213,1.3290000000000002,FALSE
kmeans,G3,10,0,0,3.0032,0.23953324983763263,7.975933998322876,0.8219999999999996,FALSE
kmeans,G6,10,0,0,2.983,0.24712524939570396,8.284453549973314,0.8330000000000002,FALSE
kmeans,G7,10,0,0,2.8183,0.13199920033427806,4.683646181537738,0.4849999999999999,FALSE
kmeans,G9,10,0,0,2.8963,0.23133864066918575,7.987385307778398,0.7779999999999996,FALSE
kmeans,OPTIMIZED,10,0,0,4.183,0.5597279100896553,13.381016258418727,2.006,FALSE
linear_discriminant_analysis,BASELINE,10,0,0,0.5371,0.02189596614295274,4.076701944321865,0.06299999999999994,FALSE
linear_discriminant_analysis,G1,10,1,10,0.5431,0.04710142720177856,8.672698803494487,0.17900000000000005,FALSE
linear_discriminant_analysis,G12,10,0,0,0.5315,0.030071211777674967,5.657800898904039,0.10199999999999998,FALSE
linear_discriminant_analysis,G14,10,0,0,0.5325,0.021884799392373793,4.109821482135924,0.06899999999999995,FALSE
linear_discriminant_analysis,G3,10,0,0,0.5237,0.0261068318006354,4.985073859200954,0.07300000000000006,FALSE
linear_discriminant_analysis,G4,10,0,0,0.5224,0.022051454978451342,4.22118204028548,0.08099999999999996,FALSE
linear_discriminant_analysis,G6,10,0,0,0.6088,0.16481963205610886,27.072869917232072,0.5399999999999999,FALSE
linear_discriminant_analysis,G7,10,1,10,0.5301,0.06181774286831679,11.661524781799054,0.21299999999999997,FALSE
linear_discriminant_analysis,G9,10,2,20,0.5538,0.09977619399881361,18.016647525968512,0.279,FALSE
linear_discriminant_analysis,OPTIMIZED,10,1,10,0.5304,0.05983718650545736,11.281520834362247,0.19799999999999995,FALSE
n_body_simulation,BASELINE,10,0,0,1.1009,0.13735311346226475,12.47643868310153,0.3839999999999999,FALSE
n_body_simulation,G1,10,0,0,1.1228,0.1831294624029678,16.31006968319984,0.45899999999999985,FALSE
n_body_simulation,G12,10,1,10,4.3059,0.4390948897701069,10.197517122323019,1.3940000000000006,FALSE
n_body_simulation,G14,10,1,10,1.025,0.1119315266878223,10.920148945153397,0.3810000000000001,FALSE
