run_id,__done,python_file,total_energy_joules,execution_time_seconds,avg_power_watts,max_power_watts,min_power_watts,cpu_usage_avg,memory_usage_avg,results_set,benchmark,variant,log_path,energy_joules_log,exec_time_sec_log,energy_joules,exec_time_sec,is_outlier,energy_z_score,energy_normalized,baseline_energy_run,pct_vs_baseline_run,efficiency_ratio,calculated_power,power_final
run_13_repetition_0,DONE,basic_string/basic_string_G14.py,2.484,0,3.02,3.182,2.939,37.621,38.079,results_1,basic_string,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_13_repetition_0/energibridge.log,2.484192270755768,0.84675586,2.484,0,FALSE,-0.4197081010078323,4.201595388393854e-4,1.437,72.86012526096033,1.7286012526096033,2.9335492286997575,3.02
run_14_repetition_0,DONE,basic_string/basic_string_G3.py,5.427,0,3.311,3.961,2.795,20.281,38.227,results_1,basic_string,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_14_repetition_0/energibridge.log,5.426549952745438,1.6774011,5.427,0,FALSE,-0.4175813780268982,9.179572533338746e-4,1.437,277.66179540709805,3.7766179540709808,3.235362132527515,3.311
run_15_repetition_0,DONE,basic_string/basic_string_G4.py,4.249,0,3.452,4.078,3.077,19.386,38.219,results_1,basic_string,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_15_repetition_0/energibridge.log,4.249199013471603,1.268275,4.249,0,FALSE,-0.4184326453294943,7.187028504543271e-4,1.437,195.68545581071672,2.9568545581071675,3.35021978671818,3.452
run_16_repetition_0,DONE,basic_string/basic_string_G6.py,3.599,0,3.578,4.062,3.497,16.454,38.208,results_1,basic_string,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_16_repetition_0/energibridge.log,3.5985881459712985,1.0478606,3.599,0,FALSE,-0.41890235988525615,6.087577215309775e-4,1.437,150.45233124565064,2.5045233124565067,3.434617161862943,3.578
run_17_repetition_0,DONE,basic_string/basic_string_G7.py,3.255,0,2.896,4.86,2.607,19.86,38.184,results_1,basic_string,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_17_repetition_0/energibridge.log,3.2551726369857787,1.2652781,3.255,0,FALSE,-0.41915094728092095,5.50571376377697e-4,1.437,126.51356993736951,2.265135699373695,2.5725569738383998,2.896
run_18_repetition_0,DONE,basic_string/basic_string_G9.py,4.372,0,3.201,5.098,2.562,20.481,38.18,results_1,basic_string,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_18_repetition_0/energibridge.log,4.372038238525391,1.4660978,4.372,0,FALSE,-0.4183437608827887,7.395078517736687e-4,1.437,204.2449547668754,3.0424495476687543,2.9820657257653616,3.201
run_19_repetition_0,DONE,basic_string/basic_string_OPTIMIZED.py,4006.036,0,45.236,48.328,3.386,80.321,38.644,results_1,basic_string,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_19_repetition_0/energibridge.log,4006.03595753002,88.58587,4006.036,0,FALSE,2.473409820760655,0.6776063761408921,1.437,278677.7313848295,2787.777313848295,45.222065324865014,45.236
run_20_repetition_0,DONE,convolution_neural_network/convolution_neural_network.py,1.396,0,3.388,3.388,3.388,22.08,38.58,results_1,convolution_neural_network,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_20_repetition_0/energibridge.log,1.3957608213424684,0.43152237,1.396,0,FALSE,0.362149903014739,0.5560026827632462,1.396,0,1,3.235058242751123,3.388
run_21_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G1.py,1.368,0,3.265,3.265,3.265,19.396,38.546,results_1,convolution_neural_network,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_21_repetition_0/energibridge.log,1.3678996829986572,0.43483543,1.368,0,FALSE,0.27377254352535996,0.5372233400402416,1.396,-2.0057306590257737,0.9799426934097423,3.146017793444292,3.265
run_22_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G14.py,1.367,0,3.261,3.261,3.261,18.86,38.59,results_1,convolution_neural_network,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_22_repetition_0/energibridge.log,1.366515205144882,0.4393706,1.367,0,FALSE,0.27061620925788177,0.5365526492287056,1.396,-2.077363896848132,0.9792263610315187,3.111268710286942,3.261
