variant,n_benchmarks,energy_median,energy_mean_overall,energy_sd,cpu_median,memory_median,power_median,n_energy_improved,n_energy_worsened
G7,10,-6.554578340358628,0.4765683152823649,53.3055312436089,-1.4708856595334452,0.09552306189126454,-6.173060164768916,7,3
G3,10,-3.7280098486707667,9.7764521155654,57.26439167697351,-2.2237278989219167,0.012212038064558832,-2.2323776718689183,6,4
G6,10,-3.651385696636203,10.352135120506837,42.66327252718268,-0.9532478488755242,0.018746101967509168,-4.08673391274572,6,4
G4,8,-2.3853533416446275,10.601386198907406,56.24063647197356,0.8372290679135412,0.03504672272978386,-2.483696581685429,5,3
G1,10,-0.5015620366067595,6.073353575852888,24.484735976946894,2.083165328960046,0.028185085784212457,-0.3679566561292986,5,5
G14,9,0.07631040644487656,20.20064899387236,44.818895318140775,3.467546879890728,0.009677090760925901,-2.8064251163639584,4,5
G9,7,3.109290634891079,35.295427619231454,98.64578796794315,2.49948204144732,0.07725156656045433,3.239757500868824,3,4
G12,7,40.76568150642224,17030.49544636389,41213.59748238627,37.37801412034702,0.5250573687863147,7.453499264017119,2,5
