benchmark,variant,n_runs,energy_mean,energy_median,energy_sd,energy_iqr,energy_cv,baseline_energy_mean,energy_pct_vs_baseline,energy_median_pct_vs_baseline,power_mean,power_pct_vs_baseline,time_mean,time_pct_vs_baseline,cpu_mean,memory_mean,outlier_rate
ant_colony_optimization_algorithms,BASELINE,10,0.462,0.453,0.09755568210571391,0.04074999999999995,21.115948507730284,0.462,0,0,2.2419000000000002,0,0,NA,16.6304,39.266999999999996,30
ant_colony_optimization_algorithms,G1,10,0.4938,0.4685,0.05614623762996055,0.06050000000000011,11.370238483183586,0.462,6.883116883116881,3.421633554083888,2.3891,6.565859315758944,0,NA,16.6231,39.2987,0
ant_colony_optimization_algorithms,G12,10,0.5006,0.4585,0.07821224683868605,0.128,15.623700926625258,0.462,8.35497835497836,1.2141280353200894,2.409,7.453499264017109,0,NA,16.3684,39.2962,0
ant_colony_optimization_algorithms,G14,10,0.4911,0.455,0.06778306901022145,0.031249999999999944,13.802294646756557,0.462,6.29870129870129,0.44150110375275975,2.3449999999999998,4.598777822382779,0,NA,17.7802,39.2983,20
ant_colony_optimization_algorithms,G3,10,0.5131,0.4565,0.08352438100472352,0.15425,16.278382577416394,0.462,11.060606060606055,0.7726269315673295,2.4641,9.91123600517418,0,NA,16.0116,39.314099999999996,0
ant_colony_optimization_algorithms,G4,10,0.5152,0.492,0.07247344341205265,0.13324999999999998,14.067050351718294,0.462,11.515151515151507,8.609271523178803,2.4795,10.598153352067422,0,NA,17.3743,39.311,0
ant_colony_optimization_algorithms,G6,10,0.4945,0.455,0.07780209937184641,0.126,15.733488245064997,0.462,7.034632034632028,0.44150110375275975,2.3877,6.5034122842232,0,NA,15.665,39.3068,0
ant_colony_optimization_algorithms,G7,10,0.48160000000000003,0.4545,0.06190350914483316,0.02174999999999999,12.853718676252731,0.462,4.242424242424243,0.33112582781456984,2.3238000000000003,3.653151344841433,0,NA,16.1169,39.3087,20
ant_colony_optimization_algorithms,G9,10,0.4832,0.457,0.058565822418502354,0.018249999999999933,12.120410268729792,0.462,4.588744588744588,0.8830022075055195,2.3207,3.5148757750122552,0,NA,14.5984,39.2947,20
ant_colony_optimization_algorithms,OPTIMIZED,10,0.4994,0.465,0.07896300118128463,0.08000000000000002,15.811574125207176,0.462,8.095238095238093,2.6490066225165587,2.3942,6.793344930639184,0,NA,16.3634,39.3058,10
basic_string,BASELINE,10,1.2570000000000001,1.318,0.18364276916521016,0.17449999999999988,14.609607729929209,1.2570000000000001,0,0,2.3656,0,0,NA,17.4938,39.3149,20
basic_string,G1,10,2.194,2.2735000000000003,0.3938104450959454,0.5700000000000001,17.949427761893595,1.2570000000000001,74.54256165473348,72.49620637329288,2.4333,2.861853229624614,0,NA,18.497,39.3293,0
basic_string,G12,10,1386.5506,1618.6595,609.2160763070303,597.8115,43.937529312455695,1.2570000000000001,110206.33253778837,122711.79817905917,39.1518,1555.0473452823808,0,NA,77.0832,39.6725,10
basic_string,G14,10,2.9395,2.92,0.5581603214529356,0.8897499999999998,18.98827424571987,1.2570000000000001,133.85043754972153,121.54779969650984,2.8844,21.931011159959404,0,NA,20.637,39.3883,0
basic_string,G3,10,3.3211,3.1295,0.9551761268652672,0.7974999999999999,28.76083607435088,1.2570000000000001,164.20843277645184,137.44309559939302,2.914,23.182279337166044,0,NA,19.1139,39.4086,10
basic_string,G4,10,2.9999,2.642,1.0451912584147778,1.2905000000000002,34.840869976158466,1.2570000000000001,138.65552903739058,100.45523520485582,2.9334,24.002367264119023,0,NA,20.3798,39.3987,0
basic_string,G6,10,2.8767,2.6545,1.02462676673563,1.0075000000000003,35.61813073089407,1.2570000000000001,128.854415274463,101.40364188163883,2.8632999999999997,21.039059857964133,0,NA,18.7444,39.436,10
basic_string,G7,10,2.8681,2.8785,0.720238918692957,1.0590000000000002,25.11205741407053,1.2570000000000001,128.17024661893396,118.39908952959026,2.7121,14.647446736557313,0,NA,19.4705,39.4186,0
basic_string,G9,10,4.4971000000000005,4.234,1.3328136862375861,2.0975,29.637181433314492,1.2570000000000001,257.76451869530626,221.24430955993927,3.1368,32.600608725059175,0,NA,19.691000000000003,39.4319,0
basic_string,OPTIMIZED,10,4423.3371,4249.0405,772.9611296727596,925.3504999999996,17.474615029289982,1.2570000000000001,351796.34844868735,322285.47040971165,44.9497,1800.1394994927289,0,NA,80.5114,39.7917,0
convolution_neural_network,BASELINE,10,1.5022,1.455,0.14471182091008009,0.12349999999999994,9.63332584942618,1.5022,0,0,3.6034,0,0,NA,17.5715,39.268,20
convolution_neural_network,G1,10,1.4522,1.3675000000000002,0.1757142882952639,0.15474999999999994,12.099868358026711,1.5022,-3.3284516043136767,-6.013745704467348,3.4714,-3.6632069711938753,0,NA,16.9172,39.2612,10
convolution_neural_network,G14,10,1.3865,1.3325,0.16412681411369412,0.11500000000000021,11.837491100879488,1.5022,-7.702037012381835,-8.4192439862543,3.3464,-7.132152966642619,0,NA,18.180799999999998,39.2718,20
convolution_neural_network,G3,10,1.3552,1.248,0.20169052200504278,0.2557499999999997,14.882712662709768,1.5022,-9.7856477166822,-14.226804123711345,3.2479999999999998,-9.862907254259875,0,NA,16.3125,39.328199999999995,0
convolution_neural_network,G4,10,0.6282,0.596,0.07585922634869291,0.03500000000000003,12.07564889345637,1.5022,-58.18133404340301,-59.03780068728523,2.9848,-17.167119942276745,0,NA,16.5409,39.3237,20
